VARIABLE,DESCRIPTION,SOURCE,Activate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IADLHP31,IADL Screener – RD 3/1,HE 1-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLHLP31,ADL Screener – RD 3/1,HE 4-6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIDHLP31,Used Assistive Devices – RD 3/1,HE 7-8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLKLIM31,Limitation in Physical Functioning – RD 3/1,HE 9-10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFTDIF31,Difficulty Lifting 10 Pounds – RD 3/1,HE 11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STPDIF31,Difficulty Walking up 10 Steps – RD 3/1,HE 12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLKDIF31,Difficulty Walking 3 Blocks – RD 3/1,HE 13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILDIF31,Difficulty Walking a Mile – RD 3/1,HE 14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STNDIF31,Difficulty Standing 20 Minutes – RD 3/1,HE 15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENDIF31,Difficulty Bending/Stooping – RD 3/1,HE 16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCHDIF31,Difficulty Reaching Overhead – RD 3/1,HE 17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNGRDF31,Difficulty Using Fingers to Grasp – RD 3/1,HE 18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTLIM31,Any Limitation Work/Housewrk/Schl – RD 3/1,HE 19-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRKLIM31,Work Limitation – RD 3/1,HE 20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSELIM31,Housework Limitation – RD 3/1,HE 20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHLIM31,School Limitation – RD 3/1,HE 20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNABLE31,Completely Unable to Do Activity – RD 3/1,HE 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCLIM31,Social Limitations – RD 3/1,HE 22-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COGLIM31,Cognitive Limitations – RD 3/1,HE 24-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFHEAR42,Serious Difficulty Hearing-RD4/2,HE26-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEAF42,Person Is Deaf – RD 4/2,HE 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFSEE42,Serious Difficulty See w/Glasses-RD4/2,HE29-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLIND42,Person Is Blind – RD 4/2,HE 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFCOG42,Serious Cognitive Difficulties-RD4/2,HE32-33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFWLKC42,Serious Difculty Wlk/Climb Stairs-RD4/2,HE34-35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFDRSB42,Difficulty Dressing/Bathing-RD4/2,HE36-37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFERND42,Difficulty Doing Errands Alone-RD4/2,HE38-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEARAD42,Person Wears Hearing Aid – RD 4/2,HE 40-41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRGLAS42,Wears Eyeglasses or Contacts – RD 4/2,HE 42-43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANYLMI17,"Any Limitation in P21R3,4,5/P22R1,2,3",Constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHPMED42,CSHCN: Child Needs Prescrb Med(0-17)-R4/2,CS03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHPMHB42,CSHCN: Pmed for Hlth/Behv Cond (0-17)-R4/2,CS03OV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHPMCN42,CSHCN: Pmed Cond Last 12+ Mos (0-17)-R4/2,CS03OV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHSERV42,CSHCN: Chld Needs Med&Oth Serv (0-17)-R4/2,CS04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHSRHB42,CSHCN: Serv for Hlth/Behv Cond(0-17)-R4/2,CS04OV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHSRCN42,CSHCN: Serv Cond Last 12+ Mos (0-17)-R4/2,CS04OV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHLIMI42,CSHCN: Limited in Any Way (0-17)-R4/2,CS05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHLIHB42,CSHCN: Limt for Hlth/Behv Cond(0-17)-R4/2,CS05OV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHLICO42,CSHCN: Limit Cond Last 12+ Mos (0-17)-R4/2,CS05OV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHTHER42,CSHCN: Chld Needs Spec Therapy (0-17)-R4/2,CS06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHTHHB42,CSHCN: Spec Ther for Hlth+Cond(0-17)-R4/2,CS06OV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHTHCO42,CSHCN: Ther Cond Last 12+ Mos (0-17)-R4/2,CS06OV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHCOUN42,CSHCN: Child Needs Counseling (0-17)-R4/2,CS07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMPB42,CSHCN: Couns Prob Last 12+ Mos (0-17)-R4/2,CS07OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSHCN42,CSHCN:Child w/Spec HC Needs (0-17)-R4/2,CS03-CS07OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOMPRO42,Problem Getting Along w/Mom (5-17)-R4/2,CS08_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DADPRO42,Problem Getting Along w/Dad (5-17)-R4/2,CS08_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNHAP42,Problem Feeling Unhappy/Sad (5-17)-R4/2,CS08_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHLBH42,Problem Behavior at School (5-17)-R4/2,CS08_04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVFUN42,Problem Having Fun (5-17) – R4/2,CS08_05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADUPRO42,Prblm Getting Along w/Adults (5-17)-R4/2,CS08_06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NERVAF42,Prblm Feeling Nervous/Afraid (5-17)-R4/2,CS08_07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIBPRO42,Prblm Getting Along w/Sibs (5-17)-R4/2,CS08_08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIDPRO42,Prblm Getting Along w/Kids (5-17)-R4/2,CS08_09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRPRO42,Problem w/Sports/Hobbies (5-17)–R4/2,CS08_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHPRO42,Problem With Schoolwork (5-17)-R4/2,CS08_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMEBH42,Problem w/Behavior at Home (5-17)-R4/2,CS08_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRBLE42,Prblm Stay out Of Trouble (5-17)-R4/2,CS08_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILCR42,CAHPS:12Mos: Ill/Inj Need Care (0-17)R4/2,CS09A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILWW42,CAHPS:12Mos: Ill Care Whn Needed (0-17)R4/2,CS10A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRTCR42,CAHPS:12Mos: Make Apt (0-17)R4/2,CS11A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRTWW42,CAHPS:12Mos: Apt Whn Needed (0-17)R4/2,CS12A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAPPT42,CAHPS:12Mos: # of Off/Clin Apts (0-17)R4/2,CS13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHNDCR42,CAHPS:12Mos:Need Any Care/Trt(0-17)-R4/2,CS14A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHENEC42,CAHPS:12Mos: Esy Get Nec Care (0-17)R4/2,CS14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHLIST42,CAHPS:12Mos: Chld Dr Lsn to You (0-17)R4/2,CS15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEXPL42,CAHPS:12Mos: Chld Dr Expl Thng (0-17)R4/2,CS16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRESP42,CAHPS:12Mos: Chld’s Dr Shw Resp(0-17)R4/2,CS17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHPRTM42,CAHPS:12Mos: Child Dr Engh Time(0-17)R4/2,CS18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHHECR42,CAHPS:12Mos: Rate Chld Hlt Care (0-17)R4/2,CS19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHSPEC42,CAHPS:12Mos: Chld Needed Spec (0-17)R4/2,CS20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEYRE42,CAHPS:12Mos: Esy w/Rfr to Spec (0-17)R4/2,CS21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MESHGT42,Doctor Ever Measured Height (0-17)-R4/2,CS22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHNHGT42,When Doctor Measured Height (0-17)-R4/2,CS22OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MESWGT42,Doctor Ever Measured Weight (0-17)-R4/2,CS24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHNWGT42,When Doctor Measured Weight (0-17)-R4/2,CS24OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHBMIX42,Child’s Body Mass Index (6-17)-R4/2,Constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MESVIS42,Doctor Checked Child’s Vision (3-6)-R4/2,CS26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MESBPR42,Dr Checked Blood Pressure (2-17)-R4/2,CS27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHNBPR42,When Dr Checked Blood Press (2-17)-R4/2,CS27OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DENTAL42,Dr Advise Reg Dental Checkup (2-17)-R4/2,CS28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHNDEN42,When Dr Advise Dent Checkup (2-17)-R4/2,CS28OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EATHLT42,Dr Advise Eat Healthy (2-17)-R4/2,CS29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHNEAT42,When Dr Advise Eat Healthy (2-17)-R4/2,CS29OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYSCL42,Dr Advise Exercise (2-17)-R4/2,CS30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHNPHY42,When Dr Advise Exercise (2-17)-R4/2,CS30OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFEST42,Dr Advise Chld Safety Seat (Wt<=40)-R4/2,CS31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHNSAF42,When Dr Advise Safety Seat (Wt<=40)-R4/2,CS31OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOST42,Dr Advise Booster Seat (40<Wt<=80)-R4/2,CS32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHNBST42,Whn Dr Advise Booster Seat(40<Wt<=80)-R4/2,CS32OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAPBLT42,Dr Advise Lap/Shoulder Belt (80<Wt)-R4/2,CS33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHNLAP42,Whn Dr Advise Lap/Shldr Blt (80<Wt)-R4/2,CS33OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HELMET42,Dr Advise Bike Helmet (2-17)-R4/2,CS34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHNHEL42,When Dr Advise Bike Helmet (2-17)-R4/2,CS34OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSMOK42,Dr Advise Smkg in Home is Bad(0-17)-R4/2,CS35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHNSMK42,Whn Dr Advis Smkg in Home Bad(0-17)-R4/2,CS35OV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMALN42,Doctor Spend Any Time Alone (12-17)-R4/2,CS36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSTETH53,Lost All Uppr And Lowr Teeth (>17) – RD 5/3,AP18B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYEXE53,Mod/Vig Phys Exec 5X Wk (>17) – RD 5/3,AP28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFTSMK53,How Oftn Smoke Cigarettes (>17) - RD 5/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAQELIG,Eligibility Status for SAQ,Constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADPROX42,SAQ: Relationship of Proxy to Adult,Constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADGENH42,SAQ: Health in General VR-12,SAQ Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDAYA42,SAQ: Hlth Limits Mod Activities VR-12,SAQ Q2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCLIM42,SAQ: Hlth Limits Climbing Stairs VR-12,SAQ Q2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADACLS42,SAQ 4Wks:Accmp Less B/C Phy Prbs VR-12,SAQ Q3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADWKLM42,SAQ 4Wks:Work Limt B/C Phy Probs VR-12,SAQ Q3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEMLS42,SAQ 4Wks:Accmp Less B/C Mnt Prbs VR-12,SAQ Q4a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADMWCF42,SAQ 4Wks:Work Limt B/C Mnt Probs VR-12,SAQ Q4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADPAIN42,SAQ 4Wks:Pain Limits Normal Work VR-12,SAQ Q5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADPCFL42,SAQ 4Wks: Felt Calm/Peaceful VR-12,SAQ Q6a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADENGY42,SAQ 4Wks: Had a Lot of Energy VR-12,SAQ Q6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADPRST42,SAQ 4Wks: Felt Downhearted/Depr VR-12,SAQ Q6c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSOCA42,SAQ 4Wks: Hlth Stopped Soc Activ VR-12,SAQ Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VPCS42,SAQ: Phy Component Summry VR-12 Imputed,Constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMCS42,SAQ: Mnt Component Summry VR-12 Imputed,Constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRFLAG42,SAQ: VPCS42/VMCS42 Imputation Flag VR-12,Constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADNERV42,SAQ 30 Days: How Often Felt Nervous,SAQ Q8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADHOPE42,SAQ 30 Days: How Often Felt Hopeless,SAQ Q8b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADREST42,SAQ 30 Days: How Often Felt Restless,SAQ Q8c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSAD42,SAQ 30 Days: How Often Felt Sad,SAQ Q8d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEFRT42,SAQ 30 Days: How Oftn Everythng an Effort,SAQ Q8e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADWRTH42,SAQ 30 Days: How Often Felt Worthless,SAQ Q8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K6SUM42,SAQ 30 Days: Overall Rating of Feelings,SAQ Q8a – Q8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADINTR42,SAQ 2 Wks: Little Interest in Things,SAQ Q9a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADDPRS42,SAQ 2 Wks: Felt Down/Depressed/Hopeless,SAQ Q9b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHQ242,SAQ 2 Wks: Overall Rating of Feelings,SAQ Q9a – Q9b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADINSA42,SAQ: Do Not Need Health Insurance,SAQ Q10a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADINSB42,SAQ: Health Insurance Not Worth Cost,SAQ Q10b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRISK42,SAQ: More Likely to Take Risks,SAQ Q10c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOVER42,SAQ: Can Overcome Ills Without Med Help,SAQ Q10d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADILCR42,SAQ 12Mos: Ill/Injury Needing Immed Care,SAQ Q11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADILWW42,SAQ 12 Mos: Got Care When Needed Ill/Inj,SAQ Q12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRTCR42,SAQ 12 Mos: Made Appt Routine Med Care,SAQ Q13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRTWW42,SAQ 12 Mos: Got Med Appt When Wanted,SAQ Q14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAPPT42,SAQ 12 Mos:# Visits to Med Off for Care,SAQ Q15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADHECR42,SAQ 12 Mos: Rating of Health care,SAQ Q16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADINST42,SAQ 12 Mos: Dr Gave Spcifc Instrctns,SAQ Q17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEZUN42,SAQ 12 Mos: Dr Given Instr. Ez Undrstd,SAQ Q18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADTLHW42,SAQ 12 Mos: Dr Asked R Desc How Follow,SAQ Q19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADFFRM42,SAQ 12 Mos: Had to Fill Out/Sign Forms,SAQ Q20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADFHLP42,SAQ 12 Mos: Offrd Help Filling Out Forms,SAQ Q21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADEXPL42,SAQ 12 Mos: Doc Explained So Understood,SAQ Q22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLIST42,SAQ 12 Mos: Doctor Listened to You,SAQ Q23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRESP42,SAQ 12 Mos: Dr Showed Respect,SAQ Q24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADPRTM42,SAQ 12 Mos: Dr Spent Enuf Time with You,SAQ Q25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
