VARIABLE,DESCRIPTION,SOURCE,Activate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSMOK42,SAQ: Currently Smoke,SAQ Q26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADNSMK42,SAQ 12Mos: Dr Advised to Quit Smoking,SAQ Q27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSPCL42,SAQ 12 MOS: Needed to See Specialist,SAQ Q28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADSNSP42,SAQ 12MOS: How Esy to See Specialist,SAQ Q29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCMPM42,SAQ: Date Completed - Month,Constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADCMPY42,SAQ: Date Completed – Year,Constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADLANG42,SAQ: Language of SAQ Interview,Constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDIA53,DCS: Diabetes Diagnosis By Health Prof,DCS Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSA1C53,DCS: Times Tested for A-One-C in 2017,DCS Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSFT1853,DCS: Had Feet Checked During 2018,DCS Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSFT1753,DCS: Had Feet Checked During 2017,DCS Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSFT1653,DCS: Had Feet Checked During 2016,DCS Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSFB1653,DCS: Had Feet Checked Before 2016,DCS Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSFTNV53,DCS: Never Had Feet Checked,DCS Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSEY1853,DCS: Dilated Eye Exam in 2018,DCS Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSEY1753,DCS: Dilated Eye Exam in 2017,DCS Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSEY1653,DCS: Dilated Eye Exam in 2016,DCS Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSEB1653,DCS: Dilated Eye Exam Before 2016,DCS Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSEYNV53,DCS: Never Had Dilated Eye Exam,DCS Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCH1853,DCS: Blood Cholesterol Checked in 2018,DCS Q5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCH1753,DCS: Blood Cholesterol Checked in 2017,DCS Q5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCH1653,DCS: Blood Cholesterol Checked in 2016,DCS Q5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCB1653,DCS: Blood Cholesterol Checked Before 2016,DCS Q5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCHNV53,DCS: Never Had Blood Cholesterol Checked,DCS Q5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSFL1853,DCS: Got Flu Vaccination in 2018,DCS Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSFL1753,DCS: Got Flu Vaccination in 2017,DCS Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSFL1653,DCS: Got Flu Vaccination in 2016,DCS Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSVB1653,DCS: Got Flu Vaccination Before 2016,DCS Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSFLNV53,DCS: Never Got Flu Vaccination,DCS Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSKIDN53,DCS: Has Diabetes Caused Kidney Problems,DCS Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSEYPR53,DCS: Has Diabetes Caused Eye Probs,DCS Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDIET53,DCS: Treat Diabetes w/Diet Modification,DCS Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSMED53,DCS: Treat Diabetes w/Meds by Mouth,DCS Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSINSU53,DCS: Treat Diabetes w/Insulin Injections,DCS Q11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCPCP53,DCS: Learned Diab Care from Prim Care Prov,DCS Q13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCNPC53,DCS: Learned Diab Care from Other Prov,DCS Q13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCPHN53,DCS: Learned Diab Care from Phn Call w/Prov,DCS Q13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCINT53,DCS: Learned Diab Care from Reading Internet,DCS Q13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCGRP53,DCS: Learned Diab Care by Taking Grp Class,DCS Q13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSCONF53,DSC: Confident Taking Care of Diabetes,DCS Q14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSPRX53,DCS: Was Respondent a Proxy,Constructed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCNRDI31,CSAQ: Cancer Diagnosis by Health Prof,CSAQ Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDIAG31,CSAQ: Cancer Diagnosis Before Age 18,CSAQ Q2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTRTMT31,CSAQ: Currently Treated for Cancer,CSAQ Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLSTRT31,CSAQ: Last Cancer Treatment,CSAQ Q4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBCK31,CSAQ: Cancer Back told by Health Prof,CSAQ Q5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBCKYR31,CSAQ: Year told Cancer Back,CSAQ Q6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFTRT31,CSAQ: First Time Treated for Cancer,CSAQ Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWRKP31,CSAQ: Work for Pay Since Diagnosed,CSAQ Q8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTMOFF31,CSAQ: Take Time off Since Diagnosed,CSAQ Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWYCNG31,CSAQ: Why Make Work Changes,CSAQ Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEXTM31,CSAQ: Take Paid Time off,CSAQ Q11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEXTDI31,CSAQ: Paid Time off at Diagnosis,CSAQ Q12A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEXTRT31,CSAQ: Paid Time off During Treatment,CSAQ Q12B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEXTLT31,CSAQ: Paid Time off <1 Year Aft Trtmnt,CSAQ Q12C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEXTMT31,CSAQ: Paid Time off >=1 Year Aft Trtmnt,CSAQ Q12D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNPTLD31,CSAQ: Chnge Part Time or Less Demand Job,CSAQ Q13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNGFLX31,CSAQ: Flexible Work Schedule,CSAQ Q14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPROM31,CSAQ: Did Not Pursue Promotion,CSAQ Q15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERET31,CSAQ: Early Retirement,CSAQ Q16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTASK31,CSAQ: interfere With Physical Tasks,CSAQ Q17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMTASK31,CSAQ: interfere With Mental Tasks,CSAQ Q18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLPROD31,CSAQ: Feel Less Productive,CSAQ Q19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFRET31,CSAQ: Might Be forced to Retire,CSAQ Q20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLHINS31,CSAQ: Stay at Job-Worry Lose Hlth ins,CSAQ Q21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCLHIN31,CSAQ: Concerned Losing Hlth ins to Cncr,CSAQ Q22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSLHIN31,CSAQ: Fmem Stay at Job-Worry Lose ins,CSAQ Q23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMEM31,CSAQ: Fmem Provide Care,CSAQ Q24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMSPS31,CSAQ: Fmem Spouse Provided Care,CSAQ Q25A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMCHD31,CSAQ: Fmem Child Provided Care,CSAQ Q25B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMSIB31,CSAQ: Fmem Sibling Provided Care,CSAQ Q25C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMPAR31,CSAQ: Fmem Parent Provided Care,CSAQ Q25D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMREL31,CSAQ: Fmem Oth Relative Provided Care,CSAQ Q25E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMFND31,CSAQ: Fmem Friend Provided Care,CSAQ Q25F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMOTR31,CSAQ: Fmem Other Provided Care,CSAQ Q25G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFMTOF31,CSAQ: Fmem Take Extended Time off,CSAQ Q26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFM2MT31,CSAQ: Fmem Take Extnd Tim off >= 2 Mnth,CSAQ Q27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINCOV31,CSAQ: Covered by Health insurance,CSAQ Q28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINPRV31,CSAQ: Covered by Private Hlth ins,CSAQ Q29A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINMDC31,CSAQ: Covered by Medicare Hlth ins,CSAQ Q29B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINMDG31,CSAQ: Covered by Medi-Gap Hlth ins,CSAQ Q29C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINMDA31,CSAQ: Covered by Medicaid Hlth ins,CSAQ Q29D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINMLT31,CSAQ: Covered by Military Hlth ins,CSAQ Q29E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINIHS31,CSAQ: Covered by I.H.S. Hlth ins,CSAQ Q29F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINSHP31,CSAQ: Covered by State Hlth ins,CSAQ Q29G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINOGP31,CSAQ: Covered by Oth Govt Hlth ins,CSAQ Q29H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINSSP31,CSAQ: Covered by Single Serv Hlth ins,CSAQ Q29I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINNCV31,CSAQ: Covered by No Hlth ins,CSAQ Q29J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINNOC31,CSAQ: Hlth ins Refused to Cover Care,CSAQ Q30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINADQ31,CSAQ: Hlth ins Coverage Not Adequate,CSAQ Q31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINCMP31,CSAQ: Current Hlth ins Compare,CSAQ Q32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINDIF31,CSAQ: Difficulty Finding Hlth ins,CSAQ Q33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CINAFD31,CSAQ: Difficulty Affording Hlth ins,CSAQ Q34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNCMED31,CSAQ: Uncovered Medical Expenses,CSAQ Q35A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNCTRP31,CSAQ: Uncovered Transportation Expenses,CSAQ Q35B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNCLOD31,CSAQ: Uncovered Lodging Expenses,CSAQ Q35C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNCCHD31,CSAQ: Uncovered Child Care Expenses,CSAQ Q35D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNCHME31,CSAQ: Uncovered Home Care Expenses,CSAQ Q35E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNCNON31,CSAQ: No Uncovered Expenses,CSAQ Q35F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNCNTS31,CSAQ: Not Sure If Uncovered Expenses,CSAQ Q35G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNDBT31,CSAQ: Money Borrowed or in Debt,CSAQ Q36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNAMT31,CSAQ: Amount of Borrowed or in Debt,CSAQ Q37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNVAC31,CSAQ: Sacrificed Leisure Spending,CSAQ Q38A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNPUR31,CSAQ: Sacrificed Big Purchases,CSAQ Q38B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNSPD31,CSAQ: Sacrificed Basic Spending,CSAQ Q38C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNSAV31,CSAQ: Sacrificed Savings,CSAQ Q38D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNLIV31,CSAQ: Sacrificed Living Situation,CSAQ Q38E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNOTH31,CSAQ: Sacrificed Other Cost,CSAQ Q38F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNUNB31,CSAQ: Unable to Cover Medical Bills,CSAQ Q39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNBNK31,CSAQ: Self or Fmem File Bankruptcy,CSAQ Q40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNPMT31,CSAQ: Worry Pay Medical Bills,CSAQ Q41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNSTB31,CSAQ: Worry Family Financial Stability,CSAQ Q42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNINC31,CSAQ: Worry income Stability,CSAQ Q43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCFUP31,CSAQ: Discuss Regular Foll-Up Care,CSAQ Q44A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCEFF31,CSAQ: Discuss Side Effects,CSAQ Q44B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCPSY31,CSAQ: Discuss Emo/Soc Needs,CSAQ Q44C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCSTY31,CSAQ: Discuss Lifestyle or Health,CSAQ Q44D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCOST31,CSAQ: Discuss Costs for Cancer Care,CSAQ Q44E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCTRT31,CSAQ: Discuss Cancer Treatments,CSAQ Q44F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLPRS31,CSAQ: Dly or forego Prescription,CSAQ Q45A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLVST31,CSAQ: Dly or forego Visit Specialist,CSAQ Q45B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLTRT31,CSAQ: Dly or forego Treatment,CSAQ Q45C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLFUP31,CSAQ: Dly or forego Follow Up Care,CSAQ Q45D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLMNT31,CSAQ: Dly or forego Mental Health Srvcs,CSAQ Q45E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDLOTH31,CSAQ: Dly or forego Other,CSAQ Q45F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCNEC31,CSAQ: Received Necessary Medical Care,CSAQ Q46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMNAFF31,CSAQ: Could Not Afford Care,CSAQ Q47A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMNINS31,CSAQ: ins Company Didn’t Approve or Pay,CSAQ Q47B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMNACC31,CSAQ: Doctor Did Not Accept insurance,CSAQ Q47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMNOFF31,CSAQ: Problems Getting to Doctor office,CSAQ Q47D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMNTIM31,CSAQ: No Time off From Work,CSAQ Q47E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMNPLC31,CSAQ: Didn’t Know Where to Go,CSAQ Q47F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMNCRE31,CSAQ: No Child/Adult Care,CSAQ Q47G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMNLNG31,CSAQ: No Time for Care/Treatment,CSAQ Q47H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFACT31,CSAQ: Activities Limited Due to Cancer,CSAQ Q48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFLCT31,CSAQ: How Long Activities Limited,CSAQ Q49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFOG31,CSAQ: Is Limitation Ongoing,CSAQ Q50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFMTL31,CSAQ: Mental Tasks Affected by Cancer,CSAQ Q51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFUND31,CSAQ: Undstnding insrnce/Medical Bill,CSAQ Q52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFBCK31,CSAQ: Worry Cancer Come Back/Get Worse,CSAQ Q53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFSTG31,CSAQ: Exp-Made a Stronger Person,CSAQ Q54A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFCOP31,CSAQ: Exp-Cope Better W/ Challenges,CSAQ Q54B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFPOS31,CSAQ: Exp-Reason for Positive Changes,CSAQ Q54C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFHLT31,CSAQ: Exp-Made Healthier Habits,CSAQ Q54D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFPHL31,CSAQ: Rate Physical Health,CSAQ Q55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFPAC31,CSAQ: Rate Physical Activity Extent,CSAQ Q56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFPIN31,CSAQ: Rate Average Pain in 7 Days,CSAQ Q57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFFTG31,CSAQ: Rate Average Fatigue in 7 Days,CSAQ Q58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFQLF31,CSAQ: Rate Quality of Life,CSAQ Q59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFMHL31,CSAQ: Rate Mental Health,CSAQ Q60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFRLT31,CSAQ: Rate Social Activity/Relationship,CSAQ Q61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEFMPR31,CSAQ: Rate Emotional Problem in 7 Days,CSAQ Q62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,